epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.538,1.14033,1.96104,1.00339,0.93843,0.43415,0.68567,0.49874,1.00051,2.37874,0.91422,0.000549352,0.000549352,0.000549352
2,727.629,1.14276,1.23989,0.99592,0.83818,0.71444,0.76152,0.53687,1.03715,1.23602,0.97009,0.00108314,0.00108314,0.00108314
3,1086.66,1.13543,1.11363,0.97555,0.83643,0.75899,0.8039,0.5755,0.98174,1.09261,0.93751,0.00159492,0.00159492,0.00159492
4,1443.28,1.12058,1.08329,0.97515,0.83455,0.74113,0.79914,0.56899,0.94587,1.00674,0.93011,0.00156798,0.00156798,0.00156798
5,1836.72,1.05797,0.9667,0.95539,0.85255,0.77511,0.81788,0.60292,0.90602,0.89065,0.90433,0.00153497,0.00153497,0.00153497
6,2210.88,1.05628,0.87694,0.95922,0.85507,0.75562,0.80273,0.58304,0.93588,0.94787,0.92864,0.00150197,0.00150197,0.00150197
7,2570.72,1.09244,0.89338,0.97828,0.81959,0.74213,0.79299,0.58831,0.94303,0.92469,0.91954,0.00146896,0.00146896,0.00146896
8,2950.54,1.02699,0.8224,0.95435,0.88101,0.74963,0.83114,0.6015,0.94438,0.81902,0.92405,0.00143595,0.00143595,0.00143595
9,3308.91,1.04301,0.80537,0.95604,0.86746,0.72609,0.81353,0.59809,0.92344,0.8331,0.93861,0.00140295,0.00140295,0.00140295
10,3663.4,1.09627,0.81655,0.96815,0.853,0.79167,0.83336,0.59748,0.93928,0.83086,0.93649,0.00136994,0.00136994,0.00136994
11,4046.42,1.00538,0.73254,0.94668,0.89633,0.77775,0.8441,0.62136,0.90613,0.72223,0.91647,0.00133693,0.00133693,0.00133693
12,4436.78,0.96898,0.71297,0.92616,0.87191,0.8006,0.84125,0.62567,0.8779,0.72972,0.91443,0.00130393,0.00130393,0.00130393
13,4863.04,1.01183,0.72605,0.94506,0.90008,0.75412,0.83895,0.62903,0.87661,0.71306,0.91193,0.00127092,0.00127092,0.00127092
14,5303.53,0.95684,0.67738,0.93672,0.89418,0.7976,0.84393,0.62914,0.85917,0.71843,0.89809,0.00123791,0.00123791,0.00123791
15,5717.57,0.96661,0.68369,0.92999,0.88041,0.8057,0.84968,0.63454,0.87747,0.69632,0.90261,0.00120491,0.00120491,0.00120491
16,6170.52,0.93563,0.65516,0.92005,0.88562,0.8096,0.85141,0.64365,0.83592,0.66378,0.89638,0.0011719,0.0011719,0.0011719
17,6602.33,0.92513,0.66039,0.9236,0.86671,0.81888,0.84702,0.63324,0.86062,0.66788,0.90167,0.00113889,0.00113889,0.00113889
18,7121.06,0.91331,0.63059,0.91961,0.89251,0.7976,0.84112,0.61957,0.86455,0.69048,0.90794,0.00110589,0.00110589,0.00110589
19,7545.18,0.91572,0.63715,0.91795,0.83937,0.82309,0.84713,0.63169,0.86489,0.68687,0.91427,0.00107288,0.00107288,0.00107288
20,7902.53,0.94424,0.63296,0.92975,0.82892,0.83358,0.85437,0.63956,0.8702,0.69808,0.90674,0.00103987,0.00103987,0.00103987
21,8256.73,0.89534,0.61757,0.90739,0.89957,0.8036,0.84365,0.64048,0.83378,0.68026,0.89893,0.00100687,0.00100687,0.00100687
22,8656.66,0.89311,0.60243,0.91598,0.88448,0.82909,0.86314,0.6539,0.83499,0.63059,0.88864,0.000973861,0.000973861,0.000973861
23,9011.2,0.87185,0.58621,0.90797,0.85949,0.84258,0.85877,0.65015,0.8337,0.64494,0.8974,0.000940855,0.000940855,0.000940855
24,9372.22,0.87005,0.56879,0.89664,0.87877,0.83658,0.85764,0.65399,0.82783,0.60708,0.89115,0.000907848,0.000907848,0.000907848
